,id,nombre,votos,periodo,partido,bancada,dist_electoral,condicion,website
94,1042,Alex Antonio Paredes Gonzales,"18,673",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,BLOQUE MAGISTERIAL DE CONCERTACIÓN NACIONAL,Arequipa,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/AlexParedes/
95,1153,Susel Ana María Paredes Piqué,"76,785",Parlamentario 2021 - 2026,Partido Morado,BLOQUE DEMOCRÁTICO POPULAR,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/SuselParedes/
96,1046,Alfredo Pariona Sinche,"9,849",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,BANCADA SOCIALISTA,Huancavelica,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/AlfredoPariona/
97,1164,José Bernardo Pazo Nunura,0,Parlamentario 2021 - 2026,Somos Perú,SOMOS PERÚ,Piura,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/josepazo/
98,1085,Luis Raúl Picón Quedo,"10,812",Parlamentario 2021 - 2026,Alianza para el Progreso,PODEMOS PERÚ,Huanuco,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/LuisPicon/
99,1072,Kelly Roxana Portalatino Ávalos,"8,286",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,PERÚ LIBRE,Ancash,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/KellyPortalatino/
100,1110,Hilda Marleny Portero López,"8,568",Parlamentario 2021 - 2026,Acción Popular,ACCION POPULAR,Lambayeque,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/HildaPortero/
101,1141,Segundo Teodomiro Quiroz Barboza,"16,660",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,BLOQUE MAGISTERIAL DE CONCERTACIÓN NACIONAL,Cajamarca,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/SegundoQuiroz/
102,1145,Wilson Rusbel Quispe Mamani,"28,343",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,JUNTOS POR EL PERÚ - VOCES DEL PUEBLO,Puno,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/WilsonQuispe/
103,1050,Bernardo Jaime Quito Sarmiento,"41,430",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,BANCADA SOCIALISTA,Arequipa,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/BernardoQuito/
104,1151,Tania Estefany Ramírez García,"3,240",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,Cajamarca,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/TaniaRamirez/
105,1061,César Manuel Revilla Villanueva,"6,420",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,Piura,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/CesarRevilla/
106,1035,Abel Augusto Reyes Cam,"7,133",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,PERÚ LIBRE,Huanuco,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/AbelReyes/
107,1047,Edgard Cornelio Reymundo Mercado,"7,912",Parlamentario 2021 - 2026,Juntos por el Perú,BLOQUE DEMOCRÁTICO POPULAR,Junin,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/EdgardReymundo/
108,1117,Janet Milagros Rivas Chacara,"4,455",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,PERÚ LIBRE,Lima Provincias,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/JanetRivas/
109,1156,Silvana Emperatriz Robles Araujo,"11,893",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,BANCADA SOCIALISTA,Junin,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/SilvanaRobles/
110,1166,Fernando Miguel Rospigliosi Capurro,"14,705",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/FernandoRospigliosi
111,1090,Magaly Rosmery Ruíz Rodríguez,"16,689",Parlamentario 2021 - 2026,Alianza para el Progreso,ALIANZA PARA EL PROGRESO,La libertad,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/MagalyRuiz/
112,1111,Hitler Saavedra Casternoque,"7,654",Parlamentario 2021 - 2026,Partido Democrático Somos Perú,SOMOS PERÚ,Loreto,Fallecido,https://www.congreso.gob.pe/congresistas2021/HitlerSaavedra/
113,1078,Eduardo Salhuana Cavides,"3,013",Parlamentario 2021 - 2026,Alianza para el Progreso,ALIANZA PARA EL PROGRESO,Madre de dios,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/EduardoSalhuana/
114,1147,Roberto Helbert Sánchez Palomino,"29,825",Parlamentario 2021 - 2026,Juntos por el Perú,JUNTOS POR EL PERÚ - VOCES DEL PUEBLO,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/RobertoSanchez/
115,1167,Magally Santisteban Suclupe,"1,597",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,Tumbes,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/MagallySantisteban/
116,1144,Wilson Soto Palacios,"7,145",Parlamentario 2021 - 2026,Acción Popular,ACCION POPULAR,Huancavelica,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/WilsonSoto/
117,1040,Alejandro Soto Reyes,"29,073",Parlamentario 2021 - 2026,Alianza para el Progreso,ALIANZA PARA EL PROGRESO,Cusco,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/AlejandroSotoReyes/
118,1098,Germán Adolfo Tacuri Valdivia,"11,547",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,BLOQUE MAGISTERIAL DE CONCERTACIÓN NACIONAL,Ayacucho,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/GermanTacuri/
119,1109,María Elizabeth Taipe Coronado,"8,643",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,PERÚ LIBRE,Apurimac,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/MariaTaipe/
120,1132,Nivardo Edgar Tello Montes,"5,133",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,PODEMOS PERÚ,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/NivardoTello/
121,1155,Rosio Torres Salinas,"5,179",Parlamentario 2021 - 2026,Alianza para el Progreso,ALIANZA PARA EL PROGRESO,Loreto,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/RosioTorres/
